sample_id,gold_label,MiniMax-M2.7,GPT-OSS-120b,Qwen3.6-35B,gemini-2.5-flash,meta/llama-3.3-70b-instruct-maas,google/gemma-4-26b-a4b-it-maas,Apertus-8B
4792161#0#s2,1,0,0,0,0,1,0,1
271844#0#s0,1,0,1,1,1,1,1,1
10111960#0#s5,1,1,1,1,1,1,1,1
9668569#0#s0,1,1,1,1,1,1,1,1
154239#0#s0,1,1,1,1,1,1,1,0
256983#0#s1,0,0,0,0,0,0,0,0
3052243#0#s0,1,1,1,1,1,1,1,1
5072462#0#s0,1,1,1,1,1,1,1,1
7666678#0#s0,1,0,1,0,1,1,1,1
7269068#0#s0,1,0,0,0,0,1,1,1
355088#0#s0,1,1,1,1,1,1,1,1
1483883#0#s0,0,0,0,0,0,0,0,0
1319222#0#s6,0,0,0,0,0,0,0,0
244410#0#s0,1,1,1,1,1,1,1,1
10150822#0#s2,1,0,0,0,0,0,0,0
2984423#0#s1,1,0,0,0,0,1,0,1
8624893#0#s0,1,1,1,1,1,0,1,1
7386890#0#s0,0,0,0,0,1,0,0,1
3938531#0#s0,0,0,0,0,0,0,0,1
1177652#0#s0,1,1,1,1,1,1,1,1
4843572#0#s3,0,0,0,0,0,1,0,1
8687257#0#s0,1,1,1,1,1,1,1,1
6156551#0#s0,1,1,1,1,1,1,1,1
4734837#0#s0,1,1,1,1,1,1,1,0
1433944#0#s0,1,1,1,1,1,1,1,1
3036371#0#s0,1,0,0,0,0,0,0,1
7985731#0#s4,1,1,0,0,0,1,1,1
7309380#0#s0,1,1,1,1,1,1,1,1
9557930#0#s1,1,0,1,1,1,1,1,1
7935967#0#s0,0,0,0,0,0,1,0,1
7380198#0#s0,1,0,0,0,1,1,0,1
9685749#0#s0,1,1,1,1,1,1,1,1
232715#0#s0,1,0,0,1,0,1,1,1
625873#0#s0,1,0,0,1,1,1,1,1
1769696#0#s0,1,1,1,0,1,1,1,1
1335201#0#s1,1,0,0,1,1,0,1,0
2016178#0#s3,1,1,1,1,1,0,1,1
1815766#0#s0,1,0,0,0,0,0,0,1
1689169#0#s3,1,1,1,0,1,1,0,1
8920493#0#s1,1,0,1,1,0,1,0,1
667891#0#s0,1,1,1,1,1,1,1,1
9920303#0#s0,1,1,1,1,1,1,1,1
8598383#0#s0,1,1,0,1,0,0,0,1
9472048#0#s5,1,1,1,1,1,1,1,0
6197477#0#s2,1,1,1,0,0,1,1,1
270986#0#s0,1,0,0,0,0,0,0,1
8539963#0#s1,1,0,0,0,0,1,0,1
7729995#0#s0,1,1,1,1,1,1,1,1
9508035#0#s8,1,1,0,0,0,1,0,1
4531363#0#s0,1,1,1,1,1,1,1,1
1185928#0#s0,1,1,1,0,0,1,0,1
7055755#0#s1,1,1,1,1,1,1,1,1
7036385#0#s0,1,0,0,0,0,0,0,1
309745#0#s0,1,0,0,0,0,0,0,1
1167865#0#s1,1,1,1,1,1,1,1,1
9245397#0#s2,1,0,1,0,1,1,0,1
9071272#0#s2,0,0,0,0,0,0,0,1
4706298#0#s2,0,0,0,0,0,0,0,0
7953115#0#s0,1,0,0,0,0,0,0,1
5775225#0#s0,1,1,1,1,1,1,1,1
2286234#0#s0,1,1,1,1,1,1,1,1
9592095#0#s0,1,1,0,0,0,1,0,1
5784822#0#s0,1,1,0,1,1,1,1,1
9559461#0#s0,1,1,1,1,1,1,1,1
7694747#0#s0,1,0,0,0,0,1,1,1
269833#0#s1,1,1,1,0,1,1,1,1
10000698#0#s0,1,1,1,1,1,1,1,1
7675910#0#s0,1,0,0,0,0,1,0,0
4722126#0#s0,1,1,1,0,1,1,1,1
4487920#0#s0,1,1,1,1,1,1,1,1
696914#0#s0,1,1,0,1,1,1,1,0
9195695#0#s2,0,0,0,0,0,1,0,1
6997976#0#s1,1,1,1,1,1,1,1,1
1431197#0#s3,1,0,0,1,1,1,0,1
1756297#0#s0,1,1,1,1,0,1,1,1
132171#0#s0,1,1,1,1,1,1,1,1
1547407#0#s1,1,1,0,1,1,1,1,1
5420185#0#s0,1,0,0,1,1,1,1,1
104051#0#s0,1,1,1,1,1,1,1,1
9885798#0#s2,1,0,0,0,0,0,0,0
779921#0#s2,1,1,0,1,1,1,1,0
1471636#0#s0,1,1,1,1,1,1,1,1
1314964#0#s0,1,1,1,1,1,1,1,1
3884246#0#s0,0,0,0,0,0,0,0,1
1051734#0#s0,0,0,0,0,0,0,0,1
1783212#0#s1,0,1,0,1,1,1,1,0
1072903#0#s0,1,1,1,1,1,1,1,1
6422090#0#s2,1,1,1,1,1,1,1,1
1678731#0#s1,0,0,0,0,0,0,0,1
33270#0#s0,1,1,1,1,1,1,1,1
410893#0#s0,1,1,1,1,1,1,1,1
6942255#0#s4,1,1,1,1,0,1,1,1
8709578#0#s2,1,0,0,0,0,0,0,0
6167896#0#s5,1,1,1,1,1,1,1,1
9411763#0#s0,1,1,1,1,1,1,1,1
4658584#0#s0,1,1,0,1,1,1,0,1
446002#0#s0,1,1,1,1,1,1,1,1
77725#0#s0,0,0,0,0,0,0,0,1
381059#0#s0,1,1,1,1,1,1,1,1
8017547#0#s0,1,0,0,1,1,1,1,1
4598481#0#s6,0,0,0,0,0,0,0,0
4571441#0#s1,1,0,0,0,1,1,0,1
8435994#0#s1,1,0,0,0,0,0,1,1
6510823#0#s1,1,0,1,1,1,1,1,1
2909589#0#s1,0,0,0,0,0,1,0,1
9931982#0#s0,1,0,0,0,0,0,1,1
4743673#0#s0,1,0,0,0,0,0,0,1
6900781#0#s0,1,1,0,0,0,1,1,1
6574#0#s0,1,1,1,1,1,1,1,1
7447690#0#s1,0,0,0,0,0,0,0,1
3568586#0#s0,1,1,1,1,1,1,1,1
7212242#0#s0,1,1,1,1,1,1,1,1
7830634#0#s0,1,1,1,1,1,1,1,1
5925181#0#s1,1,1,1,1,1,1,1,0
7013799#0#s1,1,1,1,1,1,1,1,1
1622150#0#s0,1,0,1,1,1,1,1,1
9765017#0#s1,1,0,0,0,0,1,1,1
6134008#0#s0,1,1,1,1,1,1,1,1
4417497#0#s3,0,1,1,1,1,1,1,1
7576513#0#s1,1,0,0,1,1,1,1,1
1878172#0#s0,1,1,0,0,0,0,1,1
5031500#0#s0,1,0,1,0,0,1,0,1
2087348#0#s0,1,1,1,1,1,1,1,1
8352840#0#s0,1,1,1,1,1,1,1,1
6402798#0#s2,0,0,0,0,0,0,0,1
95607#0#s4,1,1,1,1,1,1,0,1
2793268#0#s4,1,0,0,1,0,0,0,1
6245211#0#s0,1,1,1,1,1,1,1,1
4846492#0#s2,1,0,1,0,1,0,1,0
4306277#0#s0,1,1,0,1,1,1,1,1
7939927#0#s0,1,1,0,1,1,1,1,1
919762#0#s1,1,1,1,1,1,1,1,1
107797#0#s0,1,1,1,1,1,1,1,1
9883061#0#s0,1,1,1,1,1,1,1,1
6918511#0#s0,1,1,1,1,1,1,1,1
8672230#0#s0,1,1,1,1,1,1,1,1
7658537#0#s0,1,1,1,1,1,1,1,1
7444046#0#s1,0,1,1,0,1,1,1,1
4116187#0#s2,0,0,0,0,0,0,0,1
826173#0#s1,1,1,1,1,1,1,1,1
1069523#0#s2,0,0,0,0,0,1,0,1
