sample_id,gold_label,MiniMax-M2.7,GPT-OSS-120b,Qwen3.6-35B,gemini-2.5-flash,meta/llama-3.3-70b-instruct-maas,google/gemma-4-26b-a4b-it-maas,Apertus-8B
3609473#0#s0,0,0,0,0,0,1,0,1
2691000#0#s0,0,0,1,1,1,1,1,1
1348702#0#s1,1,0,0,0,1,0,0,1
68343#0#s1,1,0,1,1,1,1,1,0
1252205#0#s3,0,1,0,0,1,0,0,0
4595290#0#s0,1,0,1,0,0,0,0,1
9289948#0#s2,0,0,0,0,0,0,0,0
108191#0#s0,0,0,0,0,0,1,1,1
12027774#0#s0,0,0,0,0,0,0,0,0
12582664#0#s1,1,1,1,1,1,1,1,0
3879429#0#s0,1,1,1,1,1,1,1,1
11574268#0#s0,0,0,0,0,0,0,0,1
4753013#0#s1,0,0,0,0,0,0,0,0
13251875#0#s0,1,1,1,1,1,1,0,1
3873314#0#s0,1,1,1,1,1,1,1,1
8429381#0#s0,1,1,1,1,1,1,1,1
7566373#0#s0,0,0,1,0,0,1,0,0
502129#0#s0,1,1,1,1,1,1,1,1
6036264#0#s0,1,0,0,0,0,1,1,1
1039797#0#s1,1,0,0,1,0,1,1,0
10435566#0#s1,1,0,0,1,1,1,1,0
3649234#0#s0,1,1,1,1,1,1,1,1
30451#0#s0,1,1,1,1,1,1,1,1
12885521#0#s0,0,0,1,0,1,1,0,1
9026771#0#s0,1,0,0,1,1,0,1,1
1916124#0#s1,1,1,1,1,1,1,1,1
3505883#0#s2,1,0,1,1,1,1,1,0
5988127#0#s0,1,0,1,0,1,0,1,1
14648681#0#s0,1,1,1,1,1,1,1,1
8715051#0#s0,0,0,0,0,0,0,0,0
14700416#0#s0,1,1,1,1,1,1,1,1
2294072#0#s3,1,1,0,1,1,1,1,1
11881111#0#s0,1,1,1,1,1,1,1,1
6447574#0#s0,1,1,1,1,1,1,1,1
267015#0#s0,0,0,0,0,1,1,0,1
4338091#0#s1,1,1,0,0,0,1,1,1
353078#0#s3,1,1,1,1,1,1,1,1
6399077#0#s0,1,1,0,1,1,1,1,1
9110586#0#s4,1,1,1,1,1,1,0,1
256560#0#s0,0,1,1,1,1,1,1,1
7194310#0#s1,1,1,1,1,1,1,1,1
1952552#0#s2,0,0,0,0,0,0,0,0
6693107#0#s2,1,0,1,0,0,1,1,0
3847756#0#s3,1,1,1,1,1,1,0,1
4663043#0#s3,0,0,0,0,0,1,0,1
6023311#0#s0,1,1,1,1,1,1,1,1
11882697#0#s0,1,1,0,1,1,1,1,0
50570#0#s0,1,1,0,1,1,1,1,1
6281254#0#s26,0,0,0,0,0,1,0,1
12906307#0#s0,0,0,0,0,0,0,0,1
1373083#0#s0,1,1,1,0,1,1,1,1
1184095#0#s12,1,1,0,1,1,0,0,1
14348378#0#s0,0,1,1,1,1,1,1,1
11806555#0#s1,1,1,1,1,1,1,1,1
98245#0#s0,0,0,0,0,0,0,0,1
10356774#0#s0,0,0,1,0,0,0,0,1
16121#0#s2,1,1,1,1,1,1,1,1
14175600#0#s2,1,1,1,1,1,1,1,0
7449695#0#s0,1,1,1,1,1,1,1,1
14378647#0#s1,1,0,0,0,0,0,0,1
175429#0#s2,1,0,0,0,1,0,0,1
13093712#0#s0,1,1,1,1,1,1,1,1
9910246#0#s1,1,1,1,1,1,1,1,1
37315#0#s0,1,1,1,1,1,1,1,1
10630979#0#s2,1,1,1,1,1,1,1,1
3758035#0#s1,1,1,1,1,1,1,1,1
1784588#0#s0,1,1,1,0,0,1,0,1
4332777#0#s0,1,1,1,1,1,1,1,1
9214179#0#s0,1,1,0,0,1,1,1,1
7249896#0#s2,0,0,0,0,0,0,0,0
14433488#0#s0,1,1,1,1,1,1,1,1
12683503#0#s37,0,0,0,0,0,0,0,0
70690#0#s2,1,0,0,1,1,0,1,0
12788971#0#s5,0,0,0,0,0,0,0,1
3592864#0#s2,1,1,1,1,1,1,1,1
8022634#0#s0,1,1,1,1,1,1,1,1
1308887#0#s1,0,1,1,1,1,1,0,1
658645#0#s2,1,1,0,1,1,0,1,1
1886349#0#s0,0,1,0,0,0,1,1,1
3419872#0#s1,1,1,1,1,1,0,1,1
13886505#0#s1,0,0,0,0,0,0,0,0
552919#0#s0,1,0,1,1,1,1,1,1
7845461#0#s0,0,1,1,1,1,1,1,1
4356532#0#s0,1,0,0,0,0,1,0,1
170125#0#s0,1,0,0,0,0,1,1,1
5522098#0#s0,0,0,0,0,0,0,0,1
12387616#0#s8,1,0,0,0,0,0,0,0
7345554#0#s0,1,1,1,1,1,1,1,1
12707866#0#s0,1,0,0,1,0,1,1,1
77716#0#s3,1,1,1,1,1,1,1,1
11381528#0#s2,1,1,1,1,1,1,1,1
3426573#0#s9,1,0,0,0,0,0,0,1
2830154#0#s1,1,0,0,0,0,0,0,0
12789116#0#s0,0,0,0,0,0,1,0,1
13375583#0#s0,1,1,1,1,1,1,1,1
1470422#0#s0,0,0,0,0,0,0,0,1
115924#0#s0,1,1,1,1,1,1,1,1
847197#0#s0,1,1,1,1,1,1,1,1
2992259#0#s0,0,0,1,0,1,1,0,1
1147078#0#s1,0,0,0,0,0,0,0,0
276402#0#s0,1,1,1,1,1,1,1,1
183441#0#s8,1,1,0,1,1,0,1,0
5474655#0#s0,1,0,0,0,0,0,0,1
11224564#0#s0,1,1,1,1,1,1,1,1
34411#0#s0,0,0,0,0,0,1,0,1
1225093#0#s2,0,1,0,1,1,1,1,0
13058301#0#s0,1,1,1,1,1,1,1,1
6214271#0#s0,1,1,1,1,1,1,1,1
3328434#0#s0,1,1,1,1,1,1,1,1
3028362#0#s0,1,1,1,1,1,1,1,1
14483739#0#s0,1,1,1,1,1,1,1,1
11892817#0#s0,1,1,1,1,1,1,1,1
4063085#0#s3,0,0,0,0,0,0,0,0
5047419#0#s0,1,0,1,1,1,1,0,0
8811877#0#s1,1,1,1,1,1,0,1,1
142339#0#s0,0,0,0,0,0,0,0,0
3109066#0#s0,1,1,1,0,1,1,0,1
13079328#0#s0,1,1,1,1,1,1,1,1
14203847#0#s0,0,0,0,0,0,1,0,1
5537121#0#s1,1,0,0,0,0,1,0,1
20328#0#s1,1,1,1,1,1,1,1,1
2718027#0#s0,1,1,1,0,1,1,1,1
14635105#0#s0,1,1,1,1,1,1,1,1
3305109#0#s0,1,1,1,1,1,1,1,1
11650747#0#s0,1,0,0,1,0,1,1,1
8491623#0#s8,0,0,0,0,0,0,0,0
7736436#0#s4,0,0,0,0,1,0,0,1
14528055#0#s6,0,0,0,0,0,0,0,0
2893208#0#s2,1,1,0,1,1,1,1,1
4478124#0#s5,1,0,0,0,0,0,0,1
14370145#0#s0,1,1,1,1,1,1,1,1
10921932#0#s3,1,1,0,1,1,1,1,0
650426#0#s0,1,1,0,1,0,0,0,1
5524458#0#s0,1,1,1,1,1,1,1,1
12243480#0#s0,0,0,0,0,0,1,0,1
3663098#0#s0,1,1,1,1,1,1,1,1
2845689#0#s0,0,0,0,0,0,0,0,1
13141103#0#s0,1,1,1,1,1,1,1,1
10661819#0#s1,1,0,0,0,0,1,0,1
1097013#0#s0,1,0,0,0,0,0,0,1
8089854#0#s2,0,1,0,1,1,1,1,1
12831637#0#s2,1,1,1,1,1,1,1,1
13663890#0#s0,1,1,1,1,1,1,1,1
1694400#0#s2,1,0,0,0,1,0,0,0
9205643#0#s0,1,1,1,0,1,1,1,1
138#0#s1,0,0,0,0,0,1,0,0
6922253#0#s0,1,1,1,0,0,1,1,1
11208865#0#s0,1,1,1,1,1,1,1,1
13042387#0#s2,1,1,1,1,1,1,1,0
1755#0#s3,0,0,0,0,0,0,0,0
1348702#0#s0,1,0,0,0,1,0,0,1
68343#0#s0,1,0,1,0,1,1,1,1
1252205#0#s0,0,1,1,0,1,1,0,1
1252205#0#s1,1,1,1,1,1,1,0,0
1252205#0#s2,1,0,0,1,0,1,0,1
9289948#0#s0,1,1,1,1,1,1,1,1
9289948#0#s1,0,0,0,0,0,0,0,1
12582664#0#s0,1,1,1,1,1,1,1,1
4753013#0#s0,1,1,1,1,1,1,1,0
1039797#0#s0,1,1,1,1,1,1,1,0
10435566#0#s0,1,1,1,1,1,1,1,1
1916124#0#s0,1,1,1,1,1,1,1,1
3505883#0#s0,0,0,1,0,1,1,1,1
3505883#0#s1,1,0,0,0,0,0,0,1
2294072#0#s0,1,1,0,0,0,1,0,1
2294072#0#s1,1,1,0,0,1,0,0,0
2294072#0#s2,1,1,0,1,0,0,1,0
4338091#0#s0,1,1,1,1,1,1,1,1
353078#0#s0,1,1,1,1,1,1,1,1
353078#0#s1,1,1,0,1,1,0,1,1
353078#0#s2,1,1,1,1,1,1,0,1
9110586#0#s0,1,1,1,1,1,1,1,1
9110586#0#s1,0,0,0,0,0,0,0,0
9110586#0#s2,1,0,1,1,1,1,1,0
9110586#0#s3,1,1,0,1,1,1,1,1
7194310#0#s0,1,0,0,0,0,0,0,0
1952552#0#s0,1,0,0,0,1,0,1,0
1952552#0#s1,1,1,1,1,1,1,1,1
6693107#0#s0,1,1,1,1,1,1,1,1
6693107#0#s1,1,1,1,1,1,1,1,1
3847756#0#s0,0,0,0,0,0,1,0,1
3847756#0#s1,1,1,1,1,1,1,1,1
3847756#0#s2,1,0,1,0,1,1,0,1
4663043#0#s0,1,1,1,1,1,1,1,1
4663043#0#s1,1,1,1,1,1,1,1,1
4663043#0#s2,1,1,1,1,1,1,1,1
6281254#0#s0,1,1,1,1,1,1,1,1
6281254#0#s1,1,1,1,1,1,1,1,1
6281254#0#s2,1,0,1,0,1,0,0,1
6281254#0#s3,1,1,0,0,1,0,0,1
6281254#0#s4,0,0,0,0,0,0,1,1
6281254#0#s5,0,0,0,0,0,0,0,1
