sample_id,gold_label,MiniMax-M2.7,GPT-OSS-120b,Qwen3.6-35B,gemini-2.5-flash,meta/llama-3.3-70b-instruct-maas,google/gemma-4-26b-a4b-it-maas,Apertus-8B
184437#0#s0,1,0,0,0,1,0,0,1
432829#0#s0,1,1,1,1,1,1,1,1
36765#0#s0,1,1,1,1,1,1,1,1
231243#0#s0,1,1,1,1,0,1,1,1
745683#0#s0,1,1,1,1,1,1,1,1
179243#0#s1,0,0,0,1,1,1,0,0
231045#0#s2,1,0,0,0,1,1,0,1
231294#0#s0,1,1,1,1,1,1,1,1
1286330#0#s0,1,1,1,1,1,0,1,1
60526#0#s0,0,0,0,0,0,0,0,1
71502#0#s0,1,1,1,1,1,1,1,1
63390#0#s0,1,1,1,1,1,1,1,1
789214#0#s2,1,1,1,0,1,0,1,1
165904#0#s0,1,1,1,1,1,1,1,0
44629#0#s0,0,0,0,0,0,0,0,0
484420#0#s0,1,1,1,1,1,1,1,1
753348#0#s2,1,0,1,1,0,1,0,0
192204#0#s1,1,1,0,1,0,1,1,1
37190#0#s1,1,0,0,1,1,1,1,0
42361#0#s0,1,1,1,1,1,1,1,1
813750#0#s0,1,1,1,1,1,1,1,1
229285#0#s0,1,1,1,1,1,1,1,1
979176#0#s0,1,1,1,1,1,1,1,1
10907#0#s0,0,0,0,0,0,0,0,0
230231#0#s0,1,1,1,1,1,1,1,1
1142228#0#s0,1,1,1,1,1,1,1,1
547030#0#s2,1,0,0,0,0,0,0,0
9871#0#s0,1,0,0,0,1,1,1,1
661917#0#s0,1,0,0,0,0,1,0,0
494772#0#s0,1,0,0,0,0,0,0,0
51793#0#s0,1,1,1,1,1,1,1,1
231656#0#s0,1,1,0,0,1,1,0,0
229700#0#s0,1,1,1,1,1,1,1,1
186417#0#s0,0,0,0,0,0,0,0,0
231540#0#s0,1,1,1,1,1,1,1,1
1347905#0#s1,0,0,0,0,0,0,0,0
525813#0#s0,1,1,1,1,1,1,1,1
231223#0#s0,1,1,1,1,1,1,1,1
574782#0#s2,0,0,1,1,1,0,1,0
1170317#0#s0,1,1,1,1,1,1,1,1
192402#0#s0,1,1,1,1,1,1,1,1
1228650#0#s1,0,0,0,0,1,0,0,0
670188#0#s1,0,0,0,0,0,0,0,1
230641#0#s1,1,0,0,1,1,1,1,1
552422#0#s0,1,1,1,1,1,1,1,1
377457#0#s0,1,1,1,1,1,1,1,1
15608#0#s0,1,1,1,1,1,1,1,1
167761#0#s0,1,1,0,1,0,1,1,1
1157146#0#s0,1,1,1,1,1,1,1,1
655479#0#s0,1,0,0,0,0,0,0,0
9978#0#s0,1,1,1,1,1,1,1,0
434308#0#s0,0,0,0,0,0,0,0,1
228893#0#s0,1,1,0,1,0,1,1,1
769779#0#s0,1,1,0,1,1,1,1,0
504015#0#s0,1,0,0,0,0,0,0,1
674967#0#s1,1,0,0,0,0,0,0,1
22648#0#s0,1,1,1,1,1,1,1,1
56421#0#s1,1,1,1,1,1,1,1,1
229221#0#s1,0,0,0,0,0,0,0,0
812713#0#s0,1,0,0,0,0,1,0,0
229019#0#s2,1,0,0,0,1,0,0,0
166131#0#s0,1,1,1,1,1,1,1,1
1168566#0#s1,1,0,0,0,0,0,0,1
248884#0#s0,1,0,1,1,1,1,1,1
504917#0#s0,1,0,0,0,1,0,1,0
211873#0#s0,1,1,1,1,1,1,1,1
560151#0#s0,1,0,1,0,0,1,1,0
1152431#0#s1,0,1,1,1,1,1,1,0
502338#0#s0,1,1,1,1,1,1,0,1
445165#0#s0,1,1,1,0,0,1,1,1
7065#0#s0,0,0,0,0,0,0,0,1
5167#0#s3,1,0,0,0,0,0,0,1
739737#0#s0,1,1,1,1,1,1,1,1
220982#0#s0,1,1,1,1,1,1,1,1
1174018#0#s0,1,1,0,1,1,1,1,0
164408#0#s0,1,1,1,1,1,1,1,1
811871#0#s3,0,1,0,1,0,0,0,0
41995#0#s0,1,1,1,1,1,1,1,1
459864#0#s0,1,1,1,1,1,1,1,1
797350#0#s0,1,1,1,0,0,0,1,1
183978#0#s3,0,0,0,0,0,0,0,0
189229#0#s0,0,0,0,0,0,0,0,0
834198#0#s0,1,0,0,0,0,0,0,0
230811#0#s0,1,1,0,1,0,0,1,1
229945#0#s0,1,1,1,1,1,1,1,1
64944#0#s0,1,0,0,0,0,1,0,0
773511#0#s0,1,0,0,0,0,0,0,1
43078#0#s1,0,0,0,0,0,0,0,0
519339#0#s0,1,0,0,0,0,0,0,1
1121538#0#s0,0,1,0,1,1,1,0,0
13393#0#s0,0,0,0,0,1,0,0,1
1231587#0#s1,0,0,0,0,0,0,0,0
625501#0#s0,1,1,1,1,1,1,1,1
859108#0#s0,1,1,1,1,1,1,1,1
502869#0#s0,1,1,1,1,1,1,1,1
166995#0#s0,1,0,1,0,0,1,0,1
228983#0#s0,0,0,0,0,0,0,0,0
809274#0#s0,1,1,1,1,1,1,1,1
1331929#0#s0,1,1,1,1,1,1,1,1
300195#0#s2,1,0,0,0,0,0,0,1
230744#0#s0,0,0,0,0,0,0,0,0
1020289#0#s1,1,0,0,1,1,1,1,1
1346725#0#s0,1,1,1,1,1,1,1,1
849760#0#s0,1,1,1,1,1,1,1,1
100764#0#s1,0,1,0,0,1,0,0,1
231680#0#s1,1,1,1,1,1,1,1,1
229949#0#s0,1,1,1,1,1,1,1,1
171230#0#s1,1,0,0,0,0,0,0,0
23538#0#s0,0,0,0,0,0,0,0,1
71704#0#s0,1,1,1,1,1,1,1,1
68507#0#s0,1,0,1,1,1,1,1,1
542560#0#s0,0,0,0,0,0,0,0,0
229636#0#s1,1,1,1,1,1,1,1,1
6072#0#s0,1,1,1,1,1,1,1,1
47669#0#s2,1,1,1,1,1,1,1,1
164616#0#s2,1,1,1,1,1,1,1,1
766592#0#s0,1,0,1,1,1,1,1,1
1351517#0#s0,1,0,0,0,0,0,0,1
2163#0#s0,1,1,0,1,1,1,1,1
655796#0#s0,0,0,0,0,0,0,0,1
231477#0#s0,0,0,0,0,0,0,0,0
381941#0#s0,1,1,0,0,1,0,0,1
237734#0#s0,1,1,1,1,0,1,1,1
231481#0#s0,1,1,0,1,0,0,0,1
1181233#0#s0,1,1,1,1,1,1,1,1
229651#0#s1,0,1,1,1,1,1,1,1
24424#0#s0,1,0,0,0,0,0,0,0
1240100#0#s2,1,0,0,0,0,0,0,0
872540#0#s0,1,1,1,0,0,1,1,1
498347#0#s0,0,0,0,0,0,0,0,0
949944#0#s0,1,1,1,1,1,1,1,1
684086#0#s0,1,0,0,0,0,0,0,0
625290#0#s0,1,1,1,1,1,1,1,1
499492#0#s0,1,0,0,1,1,1,1,1
802795#0#s0,1,1,1,1,1,1,1,1
19271#0#s0,1,0,1,1,0,1,1,1
1198753#0#s0,0,0,0,0,0,1,0,1
1161831#0#s1,1,1,1,0,0,1,1,1
723164#0#s0,1,1,1,1,1,1,1,1
700282#0#s3,1,0,0,0,1,0,0,0
791181#0#s1,0,0,0,0,0,0,0,0
230883#0#s0,1,1,1,1,1,1,1,1
34450#0#s0,1,1,1,1,1,1,1,1
1251166#0#s1,1,1,1,1,1,1,1,1
381392#0#s0,1,1,1,1,1,1,1,1
4698#0#s0,1,1,1,1,1,1,1,1
231360#0#s1,1,0,0,0,0,0,0,0
217167#0#s0,1,1,1,1,1,1,1,1
231582#0#s0,1,1,1,1,1,1,1,1
230394#0#s2,0,0,0,0,0,0,0,0
179243#0#s0,0,0,0,0,0,0,0,1
231045#0#s0,0,0,1,0,1,1,1,1
231045#0#s1,1,1,1,1,1,1,1,0
789214#0#s0,1,1,1,1,1,1,1,1
